DIRECCION_SALUD,RED_SALUD,MICRO_RED,DESC_ESTAB,year,Incluidos,Curado,Tratamiento completo,Fracaso,Fallecido,Abandono,No evaluado,Excluido,p_abandono
LAMBAYEQUE,LAMBAYEQUE,OLMOS,P.S. INSCULAS,2009,1,1,,,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. MAGDALENA,C.S. JESUS MARIA,2009,2,1,,1,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. MAGDALENA,C.S. MAGDALENA,2009,1,,,1,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. MAGDALENA,C.S. SAN MIGUEL,2009,11,9,,,1,1,,,9.1
LIMA CIUDAD,LIMA CIUDAD,C.S. MAX ARIAS SCHEREIBER,C.S. EL PINO,2009,7,4,,,1,2,,,28.6
LIMA CIUDAD,LIMA CIUDAD,C.S. MAX ARIAS SCHEREIBER,C.S. EL PORVENIR,2009,7,1,1,2,1,1,1,,14.3
LIMA CIUDAD,LIMA CIUDAD,C.S. MAX ARIAS SCHEREIBER,C.S. LINCE,2009,4,4,,,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. MAX ARIAS SCHEREIBER,C.S. MAX A. SCHREIBER,2009,10,2,1,1,,6,,,60.0
LIMA CIUDAD,LIMA CIUDAD,C.S. MAX ARIAS SCHEREIBER,C.S. SAN COSME,2009,22,10,4,3,2,3,,,13.6
LIMA CIUDAD,LIMA CIUDAD,C.S. MAX ARIAS SCHEREIBER,C.S. SAN LUIS,2009,8,5,1,,,2,,,25.0
LIMA CIUDAD,LIMA CIUDAD,C.S. MAX ARIAS SCHEREIBER,P.S. CERRO EL PINO,2009,1,1,,,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. BREÑA,2009,4,2,1,,,,1,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. CHACRA COLORADA,2009,4,2,,1,,1,,,25.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. CONDE DE LA VEGA B.,2009,3,1,1,1,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. JUAN PEREZ CARRANZA,2009,9,2,3,1,,3,,1,33.3
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. MIRONES,2009,4,4,,,,,,,0.0
